标题,评分,品牌,产地,茶类,详情链接,id,荐指数,总评,茶语排行,茶语分类排行,综合评分排行,热搜排行
[老台湾]东方美人（2016）,9.3,老台湾,台湾,乌龙>其他,https://chaping.chayu.com/tea/2995,2995,4,"这是一款工艺精致的乌龙茶。茶叶有着灿烂的色彩、迷人的香气，制作者却又将这种华丽的组合处理得恰到好处。呈现给品饮者明媚、温馨的口感享受。
干茶鲜艳可爱，虽有着红、白、褐和黄色，却又相互兼容构成五彩斑斓的视觉感。香气丰富、层次感好，前期是浓郁复合的花蜜香、熟果香、甜花香，而后逐渐转幽，变成蜜香、奶甜香、花香的组合。茶汤绵软细腻，入口即化，水含香好，唇齿留香。苦涩快速化开后被回甘生津包围，口腔甜润，喉有回甘和留香。
",13,6,2,106
[老台湾]东方美人茶（2017）,9.3,老台湾,台湾,乌龙>其它,https://chaping.chayu.com/tea/4280,4280,4,"一款辨识度超高，细腻饱满的东方美人。
色、香、味、形高度搭配，带给口腔久久的回味。茶汤香气丰富，香甜，清扬的花香和拂面蜜甜香交织在一起，持久不散。茶汤细腻饱满，滋味甜润，微涩。整体品饮感受颇为愉悦。

",13,6,8,352
[天羽茶业]东方红（2017）,9.3,天羽茶业,广东,乌龙>其它,https://chaping.chayu.com/tea/4284,4284,4,"优质凤凰单丛，花、果、蜜香融合且极具穿透力；
茶汤香气极具穿透力，花香、成熟水果甜香，蜜甜香交织融合，呼吸皆带香；
茶汤稠厚饱满，具备高度细腻感，滋味鲜活爽口，入口舌面铺有浅淡的涩感，化开极快，生津如泉，喉韵深且持久。


",13,6,24,541
[斗记茶业]拾岁大树饼茶(2016) ,9.3,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/3264,3264,4,"这是款高水准的拼配生茶新茶，风格饱满有劲，张力十足。既能够让人很容易的就体验到它所带来的高度愉悦感受，又有经得起仔细回味的精致细节。
香气饱满丰盛，于茶汤中紧紧包裹成一团；存在饱满蜜香，果子香、清爽草木香的变化；饮后从喉咙到口中皆留香；
茶汤稠软油厚；高度的鲜感颇有冲击性；有清晰的苦感支撑的骨架；涩感在舌面持续产生又逐渐消失；尾韵稍稍带苦感，喉韵颇深，耐泡度颇高。
",13,4,47,39
[斗记茶业]金斗（2011）,9.3,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1225,1225,4,"一款已经转化到一个小高峰的优秀生普，内外兼修，且已经到达一个收放自如的小平衡状态。
香气丰沛饱满，闻到的香气，水含香，喉咙里的香气，皆盛。多层次的香气高度融合统一，且又能次第释放。
茶汤稠软爽滑不失细腻，饱满有活力、香气也充分融合于茶汤之中。品饮时既能很容易感受到它的强劲鲜活风格，也能喝到诸多细腻微妙的变化，协调而均衡。
这款茶同时会带来非常强的体感，清凉感深至喉咙，深，存在感强且持久。
",13,4,47,179
[二三两]白毫银针（2016）,9.3,二三两,福建,白茶>白毫银针,https://chaping.chayu.com/tea/2530,2530,4,一款选料苛刻、工艺到位，灵动轻盈的白毫银针。 优美匀整的外形蕴含着丰富的内质，毫香与嫩香相互交融，清雅花香灵动飘逸，茶汤的甜度很高，一直持续到尾水，鲜爽顺滑的茶汤很容易让人忘记时光的流逝。这款茶拥有足够的后期转化空间，很期待存放几年之后的惊艳。,13,2,4,36
[陈升号]老班章（2011）,9.3,陈升号,云南,普洱>生茶,https://chaping.chayu.com/tea/1016,1016,4,以老班章古树茶叶为原料，是经典产区的代表作品。香气非常综合，有层次的浓郁花果香气，喉咙留香显著，滋味浓厚、充盈，茶汤内质非常丰富，苦显著，能迅速转为回甘，回甘源源不断。喉咙留香，回味持久。,13,4,8,17
[伯韵]肉桂（慧苑坑）,9.2,伯韵,福建,乌龙>其他,https://chaping.chayu.com/tea/1024,1024,4,干茶条索,29,12,432,25
[斗记茶业]玄花斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1029,1029,4,铁饼，饼形周正，无脱边，色泽深褐绿，显白毫和芽叶，汤色橙黄透亮，茶香，蜜甜香，花香相互交织，香气高扬舒适，滋味鲜爽甘洌，茶汤油厚饱满，苦感较明显，回甘迅速持久，协调性好。嫩茎嫩芽，较油厚鲜活，有少量红边和红叶，破碎。,29,9,432,215
[斗记茶业]巅峰之斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1030,1030,4,茶饼压制松紧适中，饼面条索纹理清晰，属手工压制 。芽叶肥厚，显淡金色和银色芽毫。冲泡后橙黄明亮，香气以清香和花蜜香为主，拌有甜香和果香，香气饱满有层次，融于汤骨中，与茶汤滋味圆融如一，鲜醇甘洌，茶韵绵长持久。色泽深黄绿，泛褐，叶张肥大，叶质柔嫩有弹性。,29,9,47,34
[斗记茶业]金斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1292,1292,4,"一款优质生普，张扬饱满、活力十足且不失细腻。这款茶能够轻易让人沉浸在其中的香气滋味之中，品饮它时能享受到非常愉悦欢快的体验。
香气浓郁悠扬，富含变化，且持久。
滋味浓，丰富有层次，既有鲜活、强劲的外在感染力，又有经得起细细品鉴的内在顺滑细腻以及种种微妙变化。
这款茶还会带来明显的体感，品饮后整个口腔内清凉感显著，较强。",29,9,47,37
[斗记茶业]金斗（2013）,9.2,斗记茶业,云南,普洱>其他,https://chaping.chayu.com/tea/1293,1293,4,"一款活力十足，浓郁不失清新细腻的优质生普，还具备颇多新茶特征。
蜜甜香饱满，成熟果香初步显现，回味带有甜美的花香和少量清新果香、少量植物香气，层次丰富且富于变化。
茶汤浓稠、细滑，鲜爽有活力。
有比较明显的体感，整个口腔都有明显的清凉感，宽广、且较强。",29,9,24,49
[斗记茶业]七星北斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1040,1040,4,"要怎么样描述七星北斗给人的印象呢？温厚，有底蕴，喝它时会非常舒服。

一款优质生普，整体选料等级高，香气饱满，前期略略有烟味，有鲜明的“谷物和新鲜植物的混合香气”。汤水柔而有劲，滋味立体有层次感。内质丰富，鲜爽度，甜度均高，苦度也高能迅速化开，协调度非常好，耐泡度比较高。有非常不错的品饮价值，个性鲜明，是能够让人能够舒展的“暖色调”。

建议每喝一泡过后，都留存足够的时间体会细节，另外阴雨天不建议饮用，因为香气很难表现。
",29,9,432,33
[斗记茶业]金斗（2010）,9.2,斗记茶业,云南,普洱>其他,https://chaping.chayu.com/tea/1296,1296,4,"一款初步具备年份茶特征的优质生普。
香气浓郁，更多的以逐渐内收于茶汤的混合的果、蜜香为主香气，既有变化，又有层次感。
茶汤滋味浓爽，鲜活，不失细腻，清晰又迅速消失的苦味带来极强的变化性和层次感。已经初步呈现一些内敛有劲的风格特点。香气也很好地融合于茶汤之中。
这款茶水路细腻、宽阔，清凉感从喉咙扩散到口腔，深处有浓郁持久的果香。
",29,9,24,203
[斗记茶业]麻黑寨（2015）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/2064,2064,4,"一款口感糯甜、汤水细腻而富有活力的一款优质生普。
这款生普茶汤细腻、饱满，高扬的香气成团裹在茶汤中，随着茶汤过口入喉，茶汤层次丰富，前期稠厚、甜柔，慢慢转向糯甜、清雅的口感，汤水一直细腻，温暖阳光的甜感伴随着整个冲泡过程。回甘生津的持续性好，有明显的清凉感，口腔和喉咙均被茶香、余味填满，喉韵精深，茶叶耐泡度好。饮后身心温暖。",29,9,8,92
[斗记茶业]金斗（2009）,9.2,斗记茶业,云南,普洱>其他,https://chaping.chayu.com/tea/1297,1297,4,"一款有典型转化特征的，协调度非常高的优秀生普，品饮时可仔细感受这款茶自身的丰富内质以及良好存放条件下时间所带来的优秀转化。
水含香浓郁，以更为丰盛木香为主，并随着冲泡香气会呈现出不同的变化。
茶汤滋味浓爽稠滑、有劲道，饮后颇有余味。
这款茶饮后喉咙内有撑涨感、喉咙深处返香明显，回甘强劲持续，有很深的甜感、清凉感持久显著，呼吸间从喉咙深处到口腔皆带清凉气。",29,9,47,110
[斗记茶业]刮风寨（2015）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/2065,2065,4,"一款润滑细腻、强劲却又沉稳的优质生茶。
此款生茶水含香极好，汤水中含着天然浓郁的甜香、植物香，回味香保留持久。
滋味浓郁，汤水柔滑细腻，苦涩虽较明显，能快速化开，回甘生津明显，非常持久，尾韵甜柔，茶叶耐泡度高，口腔清凉感明显。喉韵延绵悠长，沁心入腹，饮后全身舒畅、体感舒适。此款刮风寨整体是柔中带阳刚之气的生普。",29,9,24,48
[鹏龙]芝兰香,9.2,鹏龙,广东,乌龙>单丛,https://chaping.chayu.com/tea/786,786,4,干茶条索较轻薄，色泽呈“三色”，黑、黄、红，汤色黄亮，气味花香浓郁鲜活，口感醇厚爽快，有层次，,29,12,47,42
[岁月知味]易道（2015）,9.2,岁月知味,云南,普洱>生茶,https://chaping.chayu.com/tea/2329,2329,4,"这是一款具有温润厚实、雍容大气风格的高端拼配茶。
原料考究，干茶条索肥，梗壮实长。茶汤和香气相互衬托，水含香好。
香气丰厚持久，汤水中果香、蜜香清晰，带有幽雅的花香，香浓郁而稳沉。滋味温润稠滑，柔而不失劲道和韵味，水路细腻畅快，回甘生津持续，口齿间留香，同时两颊伴有清凉气息，喉中回甘、余味留存。
",29,9,47,64
[斗记茶业]金斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1051,1051,4,"好的茶，需天时地利人和，即“原料好，工艺好”。金斗，好评度高，大树选料，拼配技术精湛，榜叔自然不能错过，须得喝上一喝，果然汤质饱满，综合协调度高。
其风格馥郁甜美，香气高扬盛放，渗入骨骼，草木清香、花香、蜜甜香，依次绽放。而鲜甜筑就滋味的骨架，饱满醇滑的茶汤更添质感。香滋在整个过程中富于变化。进入尾水，亦余香袅袅，甜味依旧，如余音绕梁。
",29,9,119,76
[斗记茶业]巅峰之斗2016,9.6,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/3266,3266,5,"超高协调统一的拼配生普新茶，在高度的饱满劲道之中，又尽显灵动变化。
香气始终牢牢凝聚于茶汤，从一开始的清爽茂盛，再到饱满劲道、张力十足，再到清芬幽深;
汤感鲜爽细腻度极高，从轻灵到稠厚再到稠软欲化，喉韵深厚饱满。
整款茶始终都在变化之中，稍不注意都会略过其中微妙细节，且浓度从第一泡到最后一泡都不露弱势。
",1,1,24,18
[剡茗茶业社]越乡龙井 特级,9.6,剡茗茶业社,浙江,绿茶,https://chaping.chayu.com/tea/709,709,5,越乡龙井创始人裘财初大师手制，2014年春浙江嵊州西白山茶园初摘。从原料到工艺无不尽善尽美。鼻腔瞬间被馥郁的花香、果香、豆香笼罩，汤感稠厚鲜醇，如饮了海鲜汤，余味悠长、回甘明显，清甜从舌底源源不断生出。,1,1,47,2
[祥源茶]金色庄园系列·伍·祁红工夫,9.5,祥源茶,安徽,红茶>祁门红茶,https://chaping.chayu.com/tea/387,387,4,干茶：细紧秀美，有金毫，干茶香气甜蜜，色泽乌，有宝光。汤色：汤色红艳，明亮度极好，晶莹通透。气味：具有该茶特有的祁门香，并完美呈现。滋味：滋味醇甜，汤质爽滑细腻非常。：嫩匀红亮。,3,1,231,9
[孝文家茶]牛首（2016）,9.4,孝文家茶,福建,乌龙>其他,https://chaping.chayu.com/tea/2344,2344,4,"一款工艺、选料近乎苛刻，内质达到顶级水准的牛栏坑肉桂。
顶级的山场原料加上精心的制作赋予这款茶极为丰富的内涵。中足火的工艺很好的展现了肉桂的品种特征和山场气韵，然而，无论香气还是滋味，都不显得突兀。清雅的焙火香伴随着植物辛香，赋予了这款茶易识别的品种特征；清扬的花香、馥郁的熟果香、轻柔的乳甜香，让嗅觉细胞得到深层次的满足；后期带来的木质香和粽叶香裹挟着糯甜香于汤中绽放，而这所有的香气，并不是简单的堆砌，也不是依次的罗列，每一种香气在该出现的时候就出现了，让你有一种惺惺相惜的感动，不用言语，你懂茶，茶懂你。茶汤柔和却不失劲道，稠糯的汤感为每一泡茶汤奠定了基调，甜度、糯感、鲜味，协调统一，不断的回甘生津，不仅仅滋润了喉咙，更带来长久的回味。香气溶于汤，汤中带香，彼此交融间，带来了无限的活力，茶有了活力，自然就好了。
",4,1,2,7
[二三两]白牡丹（2014）,9.4,二三两,福建,白茶>白牡丹,https://chaping.chayu.com/tea/828,828,4,一款对极致口感执着追寻的茶，完美展现福鼎白茶牡丹王风韵。外形绿叶银心，茶汤醇厚饱满，伴着花香和豆奶香，细腻悠长。此茶难得之处有三，第一，原料工艺难得、这款茶原料严格选用的最高等级、现行一般大厂多直接将其加工成银针出售。难得之处二，这款茶的工艺是最传统的日光，当今已难得有人这么认真去做，并且把它控制到最好。难得之处三，是滋味，这款罕见的再现了早些年传统丰富内质，茶汤油，喝起来滑度堪比丝绸，耐泡度到达十泡以上。,4,1,8,6
[王德传]冻顶乌龙,9.4,王德传,台湾,乌龙>其他,https://chaping.chayu.com/tea/67,67,4,这款冻顶乌龙来源于一家台湾的百年精品老店。干茶紧结，茶汤茶香高锐，还伴有花果香；滋味饱满顺滑，清爽怡人，非常耐泡。该茶工艺、烘候控制适度，百年经验传承让茶叶制作的每个细节都得到精准地控制。一款标准的冻顶乌龙茶，值得细细品味。,4,1,8,3
[斗记茶业]金斗（2016）,9.4,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/3239,3239,4,"一款优质新年份生普，集清爽与强劲一体，鲜活饱满，层次丰富且变化颇多。
香气饱满，富于变化；高扬的新鲜蜜，果香气；有冲击性又有层次感；饮用中伴随鲜嫩植物香气的变化，饮后能长时间留于喉咙。
茶汤浓强，细腻度高，入口即化；冲泡从甜润到颇有稠度再到清爽糯甜；整体鲜活爽快，协调度高。
茶汤浓且细腻，饮之鲜活爽快，入口可立刻化开，冲泡中清晰展现从甜润到颇有稠度再到清爽糯甜的变化；总体有很好的协调感，耐泡度高。",4,2,47,12
[斗记茶业]金斗·石模饼（2017）,9.4,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/4265,4265,4,"劲道与细腻并存，同时又有让人忍不住细细品味的精致细节的优质生普。
扎实外扬的蜜香之中，又复合了鲜嫩植物，新鲜果子的气息；充分稳定地融于茶汤，又能在每一泡都均衡释放，喝完到喉咙里有持续的留香；
茶汤滋味浓且细腻，有足够劲道又不失活泼，鲜度极高，清晰适度的苦感和涩度增加茶汤的层次感，能很快化开，舌面边涩边生津。
",4,2,24,22
[孝文家茶]茶王大红袍（2016）,9.4,孝文家茶,福建,乌龙>其他,https://chaping.chayu.com/tea/3026,3026,4,"一款内质饱满，韵味悠长的顶级大红袍。
轻啜一小口茶汤，稠糯顺滑，柔和而不失劲道，当茶汤滑入喉咙，瞬间化开，回甘和生津持久不断，回味清凉长久，如饮甘露琼浆，让人久久不能忘怀。“清风已生腋，芳味犹在舌”，此刻，已满嘴芬芳，无论是清甜的乳香还是饱满的花果香、亦或是清鲜的木质香和植物清香，不显的忙乱，相互交融又很有层次。茶香未散，人已微醉。
",4,1,4,11
[强氏茗茶]雨前特级南京雨花茶,9.4,强氏茗茶,江苏,绿茶>其他,https://chaping.chayu.com/tea/726,726,4,干茶：色泽绿泛翠，稍深，白毫显，条索紧结、形似松针、特别紧细圆直、,4,2,47,5
[二三两]白琳工夫,9.2,二三两,福建,红茶>其它,https://chaping.chayu.com/tea/1052,1052,4,全芽头制作的高等级白琳工夫，嫩得都不敢下手了。细嫩的芽头被浓密的橙黄芽毫包裹。冲泡后突出，混合着红糖的甜香和成熟水果的果香。茶香凝于汤中而外扬，香气浓郁而舒适。茶汤入口鲜醇饱满，回甘迅速持久，但对口腔的刺激性较弱，是属于甜柔型的风格，类似与鲜豆奶的口感，细腻，饱满，柔和。,29,2,47,26
[立早]一级恩施玉露（2018）,9.2,立早,湖北,绿茶>其他,https://chaping.chayu.com/tea/4386,4386,4,这一杯茶，便是春天的正确打开方式。作为当年的新茶，干茶和叶底都充分体现出了春天盈盈的绿意。香气、滋味更是鲜爽宜人，豆香甜香十分浓郁，茶汤醇厚鲜爽入口即甜，满口留香，苦涩味十分柔和且退散得迅速。,29,3,119,544
[重茶集团]定心 决策,9.2,重茶集团,重庆,绿茶>其它,https://chaping.chayu.com/tea/1087,1087,4,"一款高等级的绿茶，有着非常鲜明的鲜嫩型绿茶个性。干茶带清香，香气带着非常鲜嫩的浓豆香和嫩玉米香气，茶汤内质丰富，汤水细柔香甜，滋味清鲜高扬、甜度高、微微有涩，回甘生津明显持久。
",29,3,24,14
[天英]牛栏坑肉桂,9.2,天英,福建,乌龙>其他,https://chaping.chayu.com/tea/1345,1345,4,"一款节奏轻快，甜度轻柔的轻牛栏坑肉桂。
茶汤香气浓郁高扬，水含香很好，有舒适的香，但三泡后香减退，植物的辛香和甜果香、花蜜香逐渐凸显，茶汤爽利醇厚，略有刺激感，但整理协调舒适，肉桂的品种特点鲜明张扬。
",29,12,432,93
[伯韵]一级安吉白茶,9.2,伯韵,浙江,绿茶>安吉白茶,https://chaping.chayu.com/tea/1100,1100,4,一款完美诠释安吉白茶独特之处的优质绿茶。精细选用细嫩的白化芽叶为原料，工艺精致，看似清如水的茶汤，却包含了巨大的能量，入口瞬间便被惊艳到。鲜甜，超出你的想象。,29,3,24,13
[武夷星]中国红礼藏（2016）,9.2,武夷星,福建,乌龙>其他,https://chaping.chayu.com/tea/3181,3181,4,"香气和滋味融合度高，协调饱满，很显制茶功力。
一款品质优异的大红袍需要具备的协调饱满在这款茶里很容易找到，香气的种类、层次、留香持久性都属上乘，融合在稠厚顺滑的茶汤中恰到好处，这很容易让身体得到满足，回甘生津和回味令人欣喜，每一泡茶汤的变化带来的节奏感愉悦而舒服，在不经意间，充足的韵味俘获了你的心儿。",29,12,231,180
[八马]赛珍珠5800,9.2,八马,福建,乌龙>其他,https://chaping.chayu.com/tea/1929,1929,4,"整体来说，该款产品采用传统工艺，选料上佳，工艺精湛，展现出了传统优异的品质特点，是不可多得的精品。
该款产品近乎完美地展现了铁观音的香气特点，干茶花香醇和，炒米香显。茶汤香气中兰花香馥郁、高锐，幽扬而饱满，香气沉稳，持久度好。杯底果甜香浓郁。茶汤汤水生香，炒米香气内郁。精湛的传统工艺，没有清香型的浮华，但更显传统的成熟魅力，稳重优雅，使人陶醉。",29,12,119,170
[斗记茶业]生态大树饼茶（2007） ,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1166,1166,4,"一款柔中带劲、颇具风骨的年份生普，能带来比较丰富的品饮体验。
香气沉实馥郁，复杂有层次，综合了比较浓郁且复合的木香、浓郁果香和一定草药甜香。
汤感稠厚细腻，滋味饱满平衡，口感强劲。显著，喉咙香气、回甘均盛，协调度颇高。
",29,9,231,294
[陶子]特茗祁门红茶（2017）,9.2,陶子,安徽,红茶>祁门红茶,https://chaping.chayu.com/tea/4274,4274,4,精彩的祁门工夫红茶!花果蜜香融合通透持久，整个品饮过程不断体会香气变化不断加强祁红似花似果似蜜的印象。茶汤细腻度高鲜爽感强，滋味和香气复合，口腔以至喉咙深处被回甘生津留香不断浸润回味悠长。清凉气让茶味更纯粹干净。,29,2,24,53
[岁月知味]易武正山古树茶（2006）,9.2,岁月知味,云南,普洱>生茶,https://chaping.chayu.com/tea/2743,2743,4,"这是一款内敛饱满、浑厚深沉的茶叶。十年的陈化时间，带给这款茶更多的变化与惊喜。
茶汤细腻成团，丝滑如稠，汤入口即化。滋味稠厚饱满，节奏轻快，清晰的木香、成熟果香、干菌子香、冰糖的甜香等复合香和茶汤相互依赖存在，二者不再分彼此。口腔中回甘生津持续，口齿留香，喉韵深。茶味停留时间长，体感舒服。
",29,9,119,105
[美安雅]特级蒙顶黄芽,9.2,美安雅,四川,黄茶>蒙顶黄茶,https://chaping.chayu.com/tea/700,700,4,蒙顶山核心产地，高山原生态，传统工艺精制而成。原料肥嫩，色泽黄绿鲜活，，扁平，外形优美，是黄茶中的典范。茶汤甜香、栗香明显，滋味甘醇较滑。,29,1,24,28
[龙王山]1587臻茗,9.2,龙王山,浙江,绿茶>安吉白茶,https://chaping.chayu.com/tea/958,958,4,有非常漂亮的干茶，有漂亮的浅嫩绿色，部分偏嫩黄，几乎为一芽一叶，部分茶叶还带有早春标志性，但属于采摘不当的,29,3,119,10
[老台湾]杉林溪乌龙（1990）,9.2,老台湾,台湾,乌龙>其他,https://chaping.chayu.com/tea/1474,1474,4,"这是一款原料出众，工艺优秀，陈化不错的台湾老乌龙。
该款产品经过多年的时光陈化，香气已呈现药香，且不失蜜甜香。香气入汤，茶汤甜滑顺爽，且饱满，虽然没有强烈的回甘与生津，但喝完后满口甘凉，齿颊间留淡淡药香。
",29,12,8,137
[斗记茶业]班章大树（2010）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/3267,3267,4,"一款存放得当、转化品质优秀的普洱生茶。该茶霸气内敛，口感爽快有劲儿，喉韵舒畅。
茂盛的香气令人愉悦，成熟的鲜果香包裹干燥木香、蜜香，融入汤内。茶汤稠厚有质感，饱满的滋味蕴含清晰的蜜甜，虽然舌根苦较显著，但是化得较快，并且撑起茶汤骨架，喝起来劲道足而畅快。喝后回味敦厚，喉咙深处持续甘润。
",29,9,47,1991
[斗记茶业]金斗（2014）,9.2,斗记茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/1226,1226,4,"一款优质生普，张扬饱满、活力十足且不失细腻。这款茶能够轻易让人沉浸在其中的香气滋味之中，品饮它时能享受到非常愉悦欢快的体验。
香气浓郁悠扬，富含变化，且持久。
滋味浓，丰富有层次，既有鲜活、强劲的外在感染力，又有经得起细细品鉴的内在顺滑细腻以及种种微妙变化。
这款茶还会带来明显的体感，品饮后整个口腔内清凉感显著，较强。
",29,9,231,264
